marei_kat	4.787	false	66	2018-06-22T19:48:12.000Z
dirkpeitz	3.995	false	233	2019-04-14T10:56:31.000Z
UBrandenburger	3.928	false	96	2018-05-07T10:18:17.000Z
SinaOlsson	3.857	false	70	2016-06-01T14:49:21.000Z
dennis_schmees	3.624	false	123	2019-05-20T15:05:58.000Z
Jacobs_Lu	3.624	false	435	2019-02-20T15:27:01.000Z
etarragona	3.365	false	161	2017-06-26T15:48:37.000Z
gtuecking	3.365	false	87	2019-03-22T14:06:51.000Z
SilkeJanovsky	2.984	false	435	2018-11-24T14:45:24.000Z
ru_phio	2.578	false	177	2019-05-24T19:08:22.000Z
chrisroepke	2.270	false	364	2019-05-02T20:11:31.000Z
JanxWord	2.168	false	152	2019-05-16T15:18:04.000Z
idiophon	1.871	false	824	2018-12-05T19:36:07.000Z
anikaszuppa	1.776	false	40	2013-06-24T06:36:44.000Z
cjdowe	1.776	false	1203	2019-05-09T21:14:21.000Z
TStrothjohann	1.776	false	731	2018-09-27T15:50:27.000Z
julianefrisse	1.592	false	605	2019-05-20T18:00:03.000Z
Jochen	1.419	true	45778	2019-05-30T15:53:38.000Z
vincentbruckma	1.419	false	104	2019-05-30T14:28:13.000Z
isidorvonaltona	1.258	false	79	2016-11-13T09:17:23.000Z
_BMW_	1.182	false	255	2019-04-02T11:46:56.000Z
HensliRahn	1.182	false	731	2019-05-27T11:53:41.000Z
marco	1.182	false	4238	2018-10-05T13:21:28.000Z
nouvelle_wagnis	1.182	false	462	2019-05-28T08:09:32.000Z
svensonst	0.973	false	2220	2019-05-17T16:29:26.000Z
carostro	0.910	false	182	2018-07-24T12:38:39.000Z
fichtalina	0.851	false	2683	2019-05-09T07:38:37.000Z
JanaLavrov	0.851	false	616	2019-04-04T09:45:55.000Z
meta_maid	0.851	false	584	2019-05-26T17:44:36.000Z
NeuerTag	0.851	false	1910	2019-03-08T10:20:01.000Z
SyKlm	0.794	false	137	2014-06-11T16:36:37.000Z
arnalyse	0.741	false	180	2018-11-23T09:56:02.000Z
photo_mp	0.741	false	1755	2019-05-30T16:07:29.000Z
alphahuhn	0.690	true	11247	2019-05-31T06:22:35.000Z
LeonieSeifert	0.643	false	1760	2019-05-28T17:11:06.000Z
JaSimmank	0.598	false	709	2019-05-29T08:14:19.000Z
mariaexner	0.598	false	3199	2019-05-25T17:08:35.000Z
ThiloKasper	0.598	false	2378	2019-05-22T17:26:25.000Z
venohr	0.598	true	4738	2019-05-30T07:59:45.000Z
aabackhaus	0.556	false	1172	2019-05-30T21:10:19.000Z
AstridGeisler	0.556	false	3175	2019-05-24T13:50:15.000Z
lisacaspari	0.556	false	8936	2019-05-29T17:41:24.000Z
OttosKassiber	0.556	false	832	2019-03-01T23:05:49.000Z
s_wo_	0.556	false	486	2019-05-29T17:25:32.000Z
tinagroll	0.556	false	4074	2019-05-30T19:18:28.000Z
joausdo	0.516	false	3113	2019-05-31T06:59:03.000Z
Marlies_Uken	0.516	false	1714	2019-05-29T15:00:16.000Z
newsbird	0.516	false	1228	2019-05-20T16:47:18.000Z
Ulrike_R	0.516	false	617	2019-05-09T13:24:23.000Z
pfaigle	0.480	false	2218	2019-05-27T07:29:08.000Z
aschadwinkel	0.445	false	1340	2019-05-29T12:32:55.000Z
colorfuldata	0.445	false	4500	2019-05-27T20:57:12.000Z
Laa_Giannina	0.445	false	289	2019-05-23T08:49:06.000Z
marcusgatzke	0.445	true	2592	2019-05-28T19:12:48.000Z
